до пята, {'Literature': 4}
до скончание мир, {'Lit/News': 1}
до ужас, {'Lit/News': 1}
дорогой цена, {'News': 1}
душа радоваться, {'Literature': 3}
дым коромысло, {'Literature': 1}
если память не изменять, {'Literature': 1}
быть глаз, {'Lit/News': 1}
жевать жвачка, {'Literature': 1}
желторотый птенец, {'Literature': 1}
живой портрет, {'Literature': 1}
жить один дом, {'Literature': 1}
житие бытие, {'Literature': 2}
журавль в небо, {'Literature': 1}
за слово в карман не полезть, {'Literature': 1}
за тридевять земля, {'Literature': 1}
забегать вперед, {'Literature': 9}
забивать себя мозги, {'News': 8}
заглядывать в будущее, {'News': 2}
заглядывать в душа, {'Literature': 1}
заглядывать вперед, {'Literature': 1}
задавать тон, {'Literature': 1}
заходить в тупик, {'News': 1}
закинуть удочка, {'Literature': 2}
пить горький, {'Literature': 1}
путать след, {'Literature': 1}
заставлять себя ждать, {'Literature': 2}
засучивать рукав, {'Lit/News': 1}
заткнуть за пояс, {'Literature': 1}
злой язык, {'Literature': 2}
знать себе, {'Literature': 1}
знать дорога, {'Literature': 4}
золотой дно, {'Literature': 1}
зуб на зуб не попадать, {'Literature': 1}
конец в вода, {'News': 1}
прощать прощай, {'Literature': 1}
смех и горе, {'Literature': 1}
хотеться и колоться, {'Literature': 1}
играть глаз, {'Literature': 1}
пойти на лад, {'Literature': 1}
идти на повод, {'Literature': 2}
идти на вы, {'Literature': 2}
из год в год, {'Literature': 5}
из конец в конец, {'Literature': 1}
из первый рука, {'News': 2}
из последний сила, {'Literature': 8}
из рука вон, {'Literature': 1}
из угол в угол, {'Literature': 7}
из-под пол, {'Literature': 2}
мерить глаз, {'Literature': 1}
изо день в день, {'Lit/News': 1}
история умалчивать, {'Literature': 1}
точно обух по голова, {'Literature': 4}
как бы то ни быть, {'Literature': 13}
как в темный лес, {'Literature': 1}
как во сон, {'Literature': 3}
как вода смывать, {'Literature': 1}
как игрушка, {'Literature': 3}
как на грех, {'Literature': 1}
как на дрожжи, {'Literature': 3}
как на подбор, {'Literature': 5}
как не бывать, {'Literature': 1}
небо и земля, {'Literature': 1}
как ни вертеть, {'Literature': 1}
как по заказ, {'Literature': 1}
как по команда, {'Literature': 3}
как снежный ком, {'News': 1}
собака на сено, {'News': 1}
как сонный муха, {'Literature': 1}
как угорелый, {'Literature': 4}
какой ветер занести, {'Literature': 2}
кататься со смех, {'Lit/News': 1}
качать голова, {'Literature': 232}
кипеть ключ, {'Literature': 2}
кишмя кишеть, {'Literature': 1}
откладывать в длинный ящик, {'Literature': 1}
полагать жизнь, {'Literature': 2}
клюнуть нос, {'Literature': 5}
клещи не вытягивать, {'Literature': 1}
конский хвост, {'Literature': 1}
кормить завтрак, {'Literature': 1}
короткий память, {'Literature': 1}
край глаз, {'Literature': 11}
край ухо, {'Literature': 1}
красный петух, {'Literature': 1}
крепкий орешек, {'Literature': 2}
крепкий слово, {'Literature': 1}
кружить голова, {'Literature': 4}
куда ни глянуть, {'Literature': 3}
куда ни кинуть взгляд, {'Literature': 1}
куда попадать, {'Literature': 2}
курица на смех, {'Literature': 1}
легко сказать, {'Literature': 1}
легкий на нога, {'Literature': 1}
лежать на бок, {'Literature': 8}
лежать на печь, {'Literature': 1}
лежать на плечо, {'News': 1}
лить вода, {'Literature': 3}
лишний рот, {'Literature': 2}
ловить каждый слово, {'Literature': 1}
поломать зуб, {'News': 1}
лыко шить, {'Lit/News': 1}
маг и волшебник, {'Literature': 1}
махнуть рука, {'Literature': 61}
медвежий угол, {'Literature': 2}
минутный дело, {'Literature': 1}
морской волк, {'Literature': 5}
мохнатый лапа, {'Literature': 1}
мыльный пузырь, {'Lit/News': 1}
с мизинец, {'Literature': 2}
на босу нога, {'Literature': 4}
на весь лад, {'Literature': 4}
на выстрел, {'News': 3}
на голова высоко, {'Literature': 2}
на медный гроши, {'Literature': 2}
на живой нитка, {'News': 1}
на зубок, {'Literature': 2}
на иголка, {'Literature': 1}
на каждый шаг, {'Literature': 8}
на карачки, {'Literature': 1}
на корень, {'Literature': 5}
на лоно природа, {'News': 1}
на мазь, {'Literature': 1}
на отлет, {'Literature': 2}
на пай, {'News': 1}
на равный право, {'News': 1}
на редкость, {'Literature': 13}
на рост, {'News': 19}
на свежий голова, {'Literature': 1}
на седьмой небо, {'Literature': 3}
